replenishment_id,store_id,sku_id,replenishment_date,trigger_type,units_ordered,units_received,order_date,receive_date,lead_time_actual,replenishment_cost,associate_id
REP_0000681,STORE_001,SKU_0084,2024-01-02,Reorder Point,576,574,2024-01-01,2024-01-02,1,3369.38,
REP_0002699,STORE_001,SKU_0396,2024-01-02,Reorder Point,406,378,2024-01-01,2024-01-02,1,5915.7,
REP_0002890,STORE_001,SKU_0425,2024-01-02,Reorder Point,612,546,2024-01-01,2024-01-02,1,6262.62,
REP_0003683,STORE_001,SKU_0488,2024-01-02,Reorder Point,436,390,2024-01-01,2024-01-02,1,5327.4,
REP_0004095,STORE_002,SKU_0005,2024-01-02,Reorder Point,254,229,2024-01-01,2024-01-02,1,2912.88,
REP_0004659,STORE_002,SKU_0035,2024-01-02,Reorder Point,518,442,2024-01-01,2024-01-02,1,4808.96,
REP_0006031,STORE_002,SKU_0266,2024-01-02,Reorder Point,552,476,2024-01-01,2024-01-02,1,4474.4,
REP_0007071,STORE_002,SKU_0449,2024-01-02,Reorder Point,272,238,2024-01-01,2024-01-02,1,3643.78,
REP_0007453,STORE_002,SKU_0546,2024-01-02,Reorder Point,362,349,2024-01-01,2024-01-02,1,4509.08,
REP_0008786,STORE_003,SKU_0220,2024-01-02,Reorder Point,386,350,2024-01-01,2024-01-02,1,3339.0,
REP_0009953,STORE_003,SKU_0409,2024-01-02,Reorder Point,252,248,2024-01-01,2024-01-02,1,4744.24,
REP_0011822,STORE_004,SKU_0159,2024-01-02,Reorder Point,304,260,2024-01-01,2024-01-02,1,1463.8,
REP_0011995,STORE_004,SKU_0192,2024-01-02,Reorder Point,572,560,2024-01-01,2024-01-02,1,10080.0,
REP_0012907,STORE_004,SKU_0323,2024-01-02,Reorder Point,374,354,2024-01-01,2024-01-02,1,5490.54,
REP_0014729,STORE_005,SKU_0068,2024-01-02,Reorder Point,246,219,2024-01-01,2024-01-02,1,1995.09,
REP_0014921,STORE_005,SKU_0123,2024-01-02,Reorder Point,600,540,2024-01-01,2024-01-02,1,2835.0,
REP_0015799,STORE_005,SKU_0333,2024-01-02,Reorder Point,434,385,2024-01-01,2024-01-02,1,2052.05,
REP_0016162,STORE_005,SKU_0399,2024-01-02,Reorder Point,686,590,2024-01-01,2024-01-02,1,12803.0,
REP_0016298,STORE_005,SKU_0435,2024-01-02,Reorder Point,182,158,2024-01-01,2024-01-02,1,884.8,
REP_0016607,STORE_005,SKU_0555,2024-01-02,Reorder Point,118,112,2024-01-01,2024-01-02,1,1691.2,
REP_0018486,STORE_006,SKU_0238,2024-01-02,Reorder Point,52,47,2024-01-01,2024-01-02,1,1024.6,
REP_0019578,STORE_006,SKU_0444,2024-01-02,Reorder Point,494,424,2024-01-01,2024-01-02,1,4829.36,
REP_0020657,STORE_007,SKU_0058,2024-01-02,Reorder Point,282,268,2024-01-01,2024-01-02,1,6244.4,
REP_0021522,STORE_007,SKU_0179,2024-01-02,Reorder Point,142,132,2024-01-01,2024-01-02,1,996.6,
REP_0021877,STORE_007,SKU_0208,2024-01-02,Reorder Point,302,299,2024-01-01,2024-01-02,1,454.48,
REP_0022012,STORE_007,SKU_0218,2024-01-02,Reorder Point,524,469,2024-01-01,2024-01-02,1,553.42,
REP_0024028,STORE_007,SKU_0569,2024-01-02,Reorder Point,198,187,2024-01-01,2024-01-02,1,1868.13,
