stockout_id,store_id,sku_id,stockout_date,restock_date,duration_days,estimated_lost_units,estimated_lost_revenue,root_cause
SO_0005394,STORE_007,SKU_0240,2024-01-09,2024-01-18,9,439,19285.27,Forecast miss
SO_0002724,STORE_003,SKU_0351,2024-01-11,2024-01-19,8,127,4709.16,Demand spike
SO_0001338,STORE_002,SKU_0133,2024-01-13,2024-01-14,1,0,0.0,Shrinkage
SO_0004150,STORE_006,SKU_0071,2024-01-13,2024-01-22,9,77,1604.68,Manual error
SO_0000202,STORE_001,SKU_0213,2024-01-14,2024-01-17,3,10,192.5,Shrinkage
SO_0000292,STORE_001,SKU_0238,2024-01-14,2024-01-17,3,13,430.82,Forecast miss
SO_0001704,STORE_002,SKU_0369,2024-01-14,2024-01-18,4,34,741.54,Shrinkage
SO_0002602,STORE_003,SKU_0339,2024-01-14,2024-01-26,12,198,2364.12,Supplier delay
SO_0002833,STORE_003,SKU_0440,2024-01-14,2024-01-22,8,152,4803.2,Demand spike
SO_0002926,STORE_003,SKU_0517,2024-01-14,2024-01-18,4,48,1965.6,Supplier delay
SO_0003864,STORE_005,SKU_0240,2024-01-14,2024-01-16,2,18,790.74,Forecast miss
SO_0003927,STORE_005,SKU_0308,2024-01-14,2024-01-22,8,28,900.2,Demand spike
SO_0004685,STORE_006,SKU_0353,2024-01-14,2024-01-23,9,150,3934.5,Manual error
SO_0004773,STORE_006,SKU_0401,2024-01-14,2024-01-18,4,47,989.35,Demand spike
SO_0004871,STORE_006,SKU_0501,2024-01-14,2024-01-18,4,22,718.3,Demand spike
SO_0004961,STORE_006,SKU_0538,2024-01-14,2024-01-16,2,86,2549.04,Supplier delay
SO_0005363,STORE_007,SKU_0223,2024-01-14,2024-01-20,6,67,2128.59,Forecast miss
SO_0006208,STORE_007,SKU_0542,2024-01-14,2024-01-22,8,113,2947.04,Shrinkage
SO_0006909,STORE_009,SKU_0241,2024-01-14,2024-01-24,10,99,3555.09,Supplier delay
SO_0007602,STORE_010,SKU_0360,2024-01-14,2024-01-17,3,8,58.0,Manual error
SO_0000570,STORE_001,SKU_0427,2024-01-15,2024-01-29,14,290,2073.5,Demand spike
SO_0000598,STORE_001,SKU_0430,2024-01-15,2024-01-22,7,114,1558.38,Supplier delay
SO_0000627,STORE_001,SKU_0434,2024-01-15,2024-01-24,9,189,585.9,Shrinkage
SO_0000766,STORE_001,SKU_0474,2024-01-15,2024-01-17,2,11,254.21,Demand spike
SO_0000812,STORE_001,SKU_0518,2024-01-15,2024-01-23,8,130,972.4,Manual error
SO_0000920,STORE_001,SKU_0523,2024-01-15,2024-01-22,7,85,1230.8,Forecast miss
SO_0000955,STORE_001,SKU_0534,2024-01-15,2024-01-20,5,83,673.13,Demand spike
SO_0000979,STORE_001,SKU_0556,2024-01-15,2024-01-20,5,64,1383.68,Manual error
SO_0001122,STORE_002,SKU_0028,2024-01-15,2024-01-18,3,46,176.18,Shrinkage
SO_0001437,STORE_002,SKU_0207,2024-01-15,2024-01-16,1,3,32.73,Supplier delay
SO_0002346,STORE_003,SKU_0241,2024-01-15,2024-01-16,1,20,718.2,Forecast miss
SO_0003229,STORE_004,SKU_0207,2024-01-15,2024-01-23,8,137,1494.67,Manual error
SO_0003537,STORE_004,SKU_0337,2024-01-15,2024-01-20,5,38,824.22,Manual error
SO_0003582,STORE_004,SKU_0499,2024-01-15,2024-01-20,5,31,675.8,Demand spike
SO_0004508,STORE_006,SKU_0203,2024-01-15,2024-01-16,1,11,245.85,Manual error
SO_0005094,STORE_007,SKU_0031,2024-01-15,2024-01-28,13,258,12200.82,Demand spike
SO_0005180,STORE_007,SKU_0067,2024-01-15,2024-01-19,4,60,2595.6,Shrinkage
SO_0005241,STORE_007,SKU_0093,2024-01-15,2024-01-17,2,6,133.92,Shrinkage
SO_0005603,STORE_007,SKU_0340,2024-01-15,2024-01-20,5,82,2328.8,Supplier delay
SO_0005990,STORE_007,SKU_0468,2024-01-15,2024-01-21,6,121,4980.36,Shrinkage
SO_0006400,STORE_008,SKU_0153,2024-01-15,2024-01-17,2,8,191.6,Demand spike
SO_0000003,STORE_001,SKU_0041,2024-01-16,2024-01-20,4,72,2714.4,Manual error
SO_0000104,STORE_001,SKU_0109,2024-01-16,2024-01-17,1,6,210.3,Supplier delay
SO_0000544,STORE_001,SKU_0403,2024-01-16,2024-01-17,1,13,396.89,Forecast miss
SO_0000790,STORE_001,SKU_0511,2024-01-16,2024-01-20,4,70,2692.2,Forecast miss
SO_0001194,STORE_002,SKU_0038,2024-01-16,2024-01-18,2,34,1690.82,Manual error
SO_0001293,STORE_002,SKU_0086,2024-01-16,2024-01-21,5,128,422.4,Manual error
SO_0001317,STORE_002,SKU_0098,2024-01-16,2024-01-18,2,15,629.25,Forecast miss
SO_0001410,STORE_002,SKU_0201,2024-01-16,2024-01-22,6,121,2887.06,Shrinkage
