layout_id,store_id,aisle_id,aisle_name,shelf_id,slot_id,capacity_units,assigned_sku_id,facing_count
LAYOUT_0000001,STORE_001,AISLE_00001,Aisle 00001,SHELF_00001,SLOT_00001,16,SKU_0340,2
LAYOUT_0000002,STORE_001,AISLE_00002,Aisle 00002,SHELF_00002,SLOT_00002,10,SKU_0010,2
LAYOUT_0000003,STORE_001,AISLE_00003,Aisle 00003,SHELF_00003,SLOT_00003,16,SKU_0530,4
LAYOUT_0000004,STORE_001,AISLE_00004,Aisle 00004,SHELF_00004,SLOT_00004,28,SKU_0523,1
LAYOUT_0000005,STORE_001,AISLE_00005,Aisle 00005,SHELF_00005,SLOT_00005,47,SKU_0304,1
LAYOUT_0000006,STORE_001,AISLE_00006,Aisle 00006,SHELF_00006,SLOT_00006,25,SKU_0298,1
LAYOUT_0000007,STORE_001,AISLE_00007,Aisle 00007,SHELF_00007,SLOT_00007,23,SKU_0440,4
LAYOUT_0000008,STORE_001,AISLE_00008,Aisle 00008,SHELF_00008,SLOT_00008,20,SKU_0044,1
LAYOUT_0000009,STORE_001,AISLE_00009,Aisle 00009,SHELF_00009,SLOT_00009,26,SKU_0155,4
LAYOUT_0000010,STORE_001,AISLE_00010,Aisle 00010,SHELF_00010,SLOT_00010,14,SKU_0252,1
LAYOUT_0000011,STORE_001,AISLE_00011,Aisle 00011,SHELF_00011,SLOT_00011,28,SKU_0578,1
LAYOUT_0000012,STORE_001,AISLE_00012,Aisle 00012,SHELF_00012,SLOT_00012,19,SKU_0510,2
LAYOUT_0000013,STORE_001,AISLE_00013,Aisle 00013,SHELF_00013,SLOT_00013,38,SKU_0289,1
LAYOUT_0000014,STORE_001,AISLE_00014,Aisle 00014,SHELF_00014,SLOT_00014,14,SKU_0234,1
LAYOUT_0000015,STORE_001,AISLE_00015,Aisle 00015,SHELF_00015,SLOT_00015,33,SKU_0312,4
LAYOUT_0000016,STORE_001,AISLE_00016,Aisle 00016,SHELF_00016,SLOT_00016,9,SKU_0109,3
LAYOUT_0000017,STORE_001,AISLE_00017,Aisle 00017,SHELF_00017,SLOT_00017,35,SKU_0375,2
LAYOUT_0000018,STORE_001,AISLE_00018,Aisle 00018,SHELF_00018,SLOT_00018,38,SKU_0223,4
LAYOUT_0000019,STORE_001,AISLE_00019,Aisle 00019,SHELF_00019,SLOT_00019,8,SKU_0402,3
LAYOUT_0000020,STORE_001,AISLE_00020,Aisle 00020,SHELF_00020,SLOT_00020,7,SKU_0383,1
LAYOUT_0000021,STORE_001,AISLE_00021,Aisle 00021,SHELF_00021,SLOT_00021,40,SKU_0423,1
LAYOUT_0000022,STORE_001,AISLE_00022,Aisle 00022,SHELF_00022,SLOT_00022,29,SKU_0065,2
LAYOUT_0000023,STORE_001,AISLE_00023,Aisle 00023,SHELF_00023,SLOT_00023,6,SKU_0411,1
LAYOUT_0000024,STORE_001,AISLE_00024,Aisle 00024,SHELF_00024,SLOT_00024,45,SKU_0145,2
LAYOUT_0000025,STORE_001,AISLE_00025,Aisle 00025,SHELF_00025,SLOT_00025,44,SKU_0329,1
LAYOUT_0000026,STORE_001,AISLE_00026,Aisle 00026,SHELF_00026,SLOT_00026,46,SKU_0372,1
LAYOUT_0000027,STORE_001,AISLE_00027,Aisle 00027,SHELF_00027,SLOT_00027,13,SKU_0375,1
LAYOUT_0000028,STORE_001,AISLE_00028,Aisle 00028,SHELF_00028,SLOT_00028,33,SKU_0031,2
LAYOUT_0000029,STORE_001,AISLE_00029,Aisle 00029,SHELF_00029,SLOT_00029,15,SKU_0478,4
LAYOUT_0000030,STORE_001,AISLE_00030,Aisle 00030,SHELF_00030,SLOT_00030,14,SKU_0029,3
LAYOUT_0000031,STORE_001,AISLE_00031,Aisle 00031,SHELF_00031,SLOT_00031,22,SKU_0385,2
LAYOUT_0000032,STORE_001,AISLE_00032,Aisle 00032,SHELF_00032,SLOT_00032,19,SKU_0206,4
LAYOUT_0000033,STORE_001,AISLE_00033,Aisle 00033,SHELF_00033,SLOT_00033,27,SKU_0247,4
LAYOUT_0000034,STORE_001,AISLE_00034,Aisle 00034,SHELF_00034,SLOT_00034,12,SKU_0143,1
LAYOUT_0000035,STORE_001,AISLE_00035,Aisle 00035,SHELF_00035,SLOT_00035,21,SKU_0480,4
LAYOUT_0000036,STORE_001,AISLE_00036,Aisle 00036,SHELF_00036,SLOT_00036,30,SKU_0213,1
LAYOUT_0000037,STORE_001,AISLE_00037,Aisle 00037,SHELF_00037,SLOT_00037,9,SKU_0142,2
LAYOUT_0000038,STORE_001,AISLE_00038,Aisle 00038,SHELF_00038,SLOT_00038,34,SKU_0252,2
LAYOUT_0000039,STORE_001,AISLE_00039,Aisle 00039,SHELF_00039,SLOT_00039,21,SKU_0383,1
LAYOUT_0000040,STORE_001,AISLE_00040,Aisle 00040,SHELF_00040,SLOT_00040,32,SKU_0127,3
LAYOUT_0000041,STORE_001,AISLE_00041,Aisle 00041,SHELF_00041,SLOT_00041,6,SKU_0062,4
LAYOUT_0000042,STORE_001,AISLE_00042,Aisle 00042,SHELF_00042,SLOT_00042,45,SKU_0025,3
LAYOUT_0000043,STORE_001,AISLE_00043,Aisle 00043,SHELF_00043,SLOT_00043,13,SKU_0083,2
LAYOUT_0000044,STORE_001,AISLE_00044,Aisle 00044,SHELF_00044,SLOT_00044,41,SKU_0064,1
LAYOUT_0000045,STORE_001,AISLE_00045,Aisle 00045,SHELF_00045,SLOT_00045,13,SKU_0032,1
LAYOUT_0000046,STORE_001,AISLE_00046,Aisle 00046,SHELF_00046,SLOT_00046,6,SKU_0304,2
LAYOUT_0000047,STORE_001,AISLE_00047,Aisle 00047,SHELF_00047,SLOT_00047,12,SKU_0249,2
LAYOUT_0000048,STORE_001,AISLE_00048,Aisle 00048,SHELF_00048,SLOT_00048,37,SKU_0336,3
LAYOUT_0000049,STORE_001,AISLE_00049,Aisle 00049,SHELF_00049,SLOT_00049,7,SKU_0206,1
